Назва товару,Ціна (готівка)
"Трифазні інвертори","за запитом"
"5000 TL3-S","$ 1 100"
"7000 TL3 S","$1 260,00"
"8000 TL3 S","$1 463,00"
"9000 TL3-S","$1 498,00"
"10000 TL3 S","$1 564,00"
"12000 TL3 S","$1 858,00"
"13000 TL3 S","$2 006,00"
"15000 TL3 S","$2 033,00"
"17000 TL3 S","$2 173,00"
"20000 TL3-S","$2 251,00"
"25000 TL3-S","$2 384,00"
"30000 TL3-S","$2 400,00"
"Growatt MAX50","$4 150,00"
"Growatt MAX60","$4 500,00"
"Growatt MAX60","$5 150,00"
"Growatt MAX80","$5 600,00"
"Мережевий інвертор LogicPower","за запитом"
"Трифазні інвертори","за запитом"
"LP SIW 30 KW","1000 $"
"ОДНОФАЗНІ ІНВЕРТОРИ FRONIUS","за запитом"
"PRIMO LIGHT (TL)","за запитом"
"FRPRI30-2L","€945,00"
"FRPRI35-2L","€890,00"
"FRPRI36-2L","€896,00"
"FRPRI40-2L","€950,00"
"FRPRI46-2L","€1 010,00"
"FRPRI50-2L","€1 045,00"
"FRPRI60-2L","€1 220,00"
"FRPRI82-2L","€1 410,00"
"PRIMO (TL)","за запитом"
"FRPRI35-2","€995,00"
"FRPRI36-2","€1 000,00"
"FRPRI40-2","€1 045,00"
"FRPRI46-2","€1 102,00"
"FRPRI50-2","€1 140,00"
"FRPRI60-2","€1 310,00"
"ТРИФАЗНІ ІНВЕРТОРИ FRONIUS","за запитом"
"SYMO M Light (2MPPT+ComCard)","за запитом"
"SYMO 3.0M-L","€1 030,00"
"SYMO 3.7M-L","€1 128,00"
"SYMO 4.5M-L","€1 192,00"
"SYMO 5.0M-L","€1 160,00"
"SYMO 6.0M-L","€1 230,00"
"SYMO 7.0M-L","€1 257,00"
"SYMO 8.2M-L","€1 596,00"
"SYMO 10.0M-L","€1 670,00"
"SYMO 12.5M-L","€1 900,00"
"SYMO 15.0M-L","€2 100,00"
"SYMO 17.5M-L","€2 200,00"
"SYMO 20.0M-L","€2 300,00"
"SYMO M  (2MPPT+WLAN)","за запитом"
"SYMO 3.0M","€1 107,00"
"SYMO 3.7M","€1 210,00"
"SYMO 4.5M","€1 271,00"
"SYMO 5.0M","€1 291,00"
"SYMO 6.0M","€1 317,00"
"SYMO 7.0M","€1 615,00"
"SYMO 8.2M","€1 781,00"
"SYMO 10.0M","€1 867,00"
"SYMO 12.5M","€2 100,00"
"SYMO 15.0M","€2 200,00"
"SYMO 17.5M","€2 340,00"
"SYMO 20.0M","€2 430,00"
"ТРИФАЗНІ ІНВЕРТОРИ","за запитом"
"ECO","за запитом"
"ECO 25.0M-L","€2 280,00"
"ECO 25.0M-M","€2 350,00"
"ECO 27.0M-L","€2 300,00"
"ECO 27.0M-M","€2 360,00"
"ТРИФАЗНІ ІНВЕРТОРИ","за запитом"
"SYMO HYBRID","за запитом"
"FRHY30-2","€1 800,00"
"FRHY40-2","€1 992,00"
"FRHY50-2","€2 170,00"
"МЕРЕЖЕВІ ІНВЕРТОРИ ABB","за запитом"
"Однофазні інвертори","за запитом"
"PVI-3.0-TL","€675,00"
"PVI-3.0-TLS","€715,00"
"PVI-3.6-TL","€729,00"
"PVI-3.6-TLS","€845,00"
"PVI-4.2-TL","€870,00"
"PVI-4.2-TLS","€910,00"
"UNO DM-5.0-TL","€960,00"
"UNO DM-5.0-TLS","€1 020,00"
"PVI-6000-TL","€1 115,00"
"PVI-6000-TLS","€1 177,00"
"Трифазні інвертори","за запитом"
"TRIO-5.8-TL","€1 233,00"
"TRIO-5.8-TLS","€1 280,00"
"TRIO-7.5-TL","€1 310,00"
"TRIO-7.5-TLS","€1 440,00"
"TRIO-8.5-TL","€1 420,00"
"TRIO-8.5-TLS","€1 470,00"
"TRIO-10.0-TL","€1 200,00"
"TRIO-10.0-TLS","€1 484,00"
"TRIO-10.0-TLFS","€1 538,00"
"TRIO-12.5-TL","€1 643,00"
"TRIO-12.5-TLS","€1 694,00"
"TRIO-12.5-TLFS","€1 708,00"
"TRIO-20.0-S2","€2 557,00"
"TRIO-20.0-S2F","€2 763,00"
"TRIO-20.0-S2X","€2 900,00"
"TRIO-20.0-S1J","€2 847,00"
"TRIO-20.0-S2J","€2 900,00"
"TRIO-27.0-S2","€3 010,00"
"TRIO-27.0-S2F","€3 120,00"
"TRIO-27.0-S2X","€3 325,00"
"TRIO-27.0-S1J","€3 240,00"
"TRIO-27.0-S2J","€3 307,00"
"TRIO-33.0-TL","€3 060,00"
"TRIO-33.0-TL-S","€3 142,00"
"TRIO-33.0-TL-SX","€3 394,00"
"ТРИФАЗНІ ІНВЕРТОРИ SMA","за запитом"
"SMA STP 5000TL-20","€1 426,00"
"SMA STP 6000TL-20","€1 573,00"
"SMA STP 7000TL-20","€1 696,00"
"SMA STP 8000TL-20","€1 794,00"
"SMA STP 9000TL-20","€1 930,00"
"SMA STP 10000TL-20","€2 040,00"
"SMA STP 12000TL-20","€2 310,00"
"SMA STP 15000TL-30","€2 587,00"
"SMA STP 15000TL-30","€2 700,00"
"SMA STP 20000TL-30","€2 690,00"
"SMA STP 20000TL-30","€2 845,00"
"SMA STP 25000TL-30","€2 725,00"
"SMA STP 25000TL-30","€2 880,00"
"SMA CORE-1 STP 50-40","€5 246,85"
"ОДНОФАЗНІ ІНВЕРТОРИ Solar Edge","за запитом"
"SE4K-RW","€1 120,00"
"SE5K-RW","€1 130,00"
"SE6K-RW","€1 150,00"
"SE7K-RW","€1 240,00"
"ТРИФАЗНІ ІНВЕРТОРИ Solar Edge","за запитом"
"SE4000-EUR3P","€1 110,00"
"SE5000-EUR3P","€1 120,00"
"SE6000-EUR3P","€1 180,00"
"SE7000-EUR","€1 228,00"
"SE8000-EUR","€1 360,00"
"SE9000-EUR","€1 400,00"
"SE10000-EUR","€1 460,00"
"SE12500-EUR","€1 513,00"
"SE15000-EUR","€1 310,00"
"SE16000-EUR","€1 385,00"
"SE17000-EUR","€1 335,00"
"SE27600-N","€1 915,00"
"SE33300-N","€2 110,00"
"SE25000-P","€2 230,00"
"SE27600-P","€2 270,00"
"SE33300-P","€2 470,00"
"SE25000-D","€2 250,00"
"SE27600-D","€2 290,00"
"SE33300-D","€2 490,00"
"ОДНОФАЗНІ ІНВЕРТОРИ Azzurro","за запитом"
"Інвертор  Однофазний 2MPPT (Garanzia 10 Anni) IP 65","за запитом"
"ZS-3000TLDW","3000"
"ZS-3000TLM","€705,00"
"ZS-3000TLMDW","€748,00"
"ZS-3680TLM","€745,00"
"ZS-3680TLMDW","€790,00"
"ZS-4000TLM","€760,00"
"ZS-3680TLMDW","€810,00"
"ZS-4600TLM","€830,00"
"ZS-4600TLMDW","€880,00"
"ZS-5000TLM","€845,00"
"ZS-5000TLMDW","€897,00"
"ZS-6000TLM","€916,00"
"ZS-6000TLMDW","€975,00"
"ТРИФАЗНІ ІНВЕРТОРИ Azzurro","за запитом"
"Трифазний інвертор  2MPPT ( Гарантія 10 років IP 65)","за запитом"
"ZS-10.0TL-S2","€1 377,00"
"ZS-30.0TLDW","€2 250,00"
"ZS-40.0TL-S3","€2 742,00"
"ZS-40.0TL-S4","€2 871,00"
"ZS-40.0TL-S5","€2 959,00"
"ZS-50.0TL-S3","€3 375,00"
"ZS-50.0TL-S4","€3 419,00"
"ZS-50.0TL-S5","€3 653,00"
"АКБ LiFePO4","за запитом"
"Ecosolex","за запитом"
"660 дол","660 дол"
"Deye, LV (Низьквольтові, LiFePO4)","за запитом"
"760 гот / 930 з ПДВ","760 $"
"750 гот / 920 з ПДВ","750 $"
"$2 300,00","$2 300,00"
"$1 450,00","$1 450,00"
"$1 760,00","$1 760,00"
"Deye, HV (Високовольтні, LiFePO4)","за запитом"
"$660,00","$660,00"
"$850,00","$850,00"
"750 гот / 920 з ПДВ","750 $"
"750 гот / 920 з ПДВ","750 $"
"760 гот / 900 з ПДВ","760 $"
"$1 260,00","$1 260,00"
"$1 120,00","$1 120,00"
"24500 гот / 29500 з ПДВ","24500 $"
"26800 гот / 32200  з ПДВ","26800 $"
"1780/2160 з ПДВ","1780/2160 з ПДВ"
"1150/1 700 з ПДВ","1150/1 700 з ПДВ"
"650/800 з ПДВ","650/800 з ПДВ"
"$320,00","$320,00"
"340/410 з ПДВ","340/410 з ПДВ"
"Акб Dyness (LiFePO4), гарантія 5 років","за запитом"
"$780,00","$780,00"
"$380,00","$380,00"
"$950,00","$950,00"
"Pylontech, LV (низьковольтові), гарантія 10 роки (LiFePO4)","за запитом"
"$600,00","$600,00"
"$950,00","$950,00"
"$950,00","$950,00"
"$960,00","$960,00"
"$4 200,00","$4 200,00"
"$800,00","$800,00"
"$1 200,00","$1 200,00"
"Pylontech, HV (високовольтові), гарантія 10 роки (LiFePO4)","за запитом"
"BMS контролер акумулятора Pylontech FORCE H1","за запитом"
"Акумуляторний модуль Pylontech Force H1","3,55 кВт"
"$1 670,00","$1 670,00"
"$990,00","$990,00"
"$870,00","$870,00"
